# Description of Fields in this File
# ==================================
#  
# Pathway Name: a user friendly name of the pathway.
# Pathway Frame-id: a unique identifier of the pathway in the PGDB.
# Pathway Class Name: a user friendly name of a class that contains the pathway.
# Pathway Class Frame-id: a unique identifier of the Class Name in the PGDB.
# Pathway Score: A number from 0-1.0 indicating the strength of the evidence supporting the inference of this pathway, where 1.0 means very strong evidence.
# Pathway Frequency Score: the sum of the number of enzymes in the PGDB catalyzing the reactions of the pathway divided by the number of reactions in the pathway. This value can be larger than 1 since there might be several enzymes catalyzing the same reaction.
# Pathway Abundance: the abundance of the pathway given the abundance values of the genes for this pathway in the annotation file.
# Reason to Keep: a keyword describing the reason the pathway was kept.
# Pathway URL: the pathway URL for the Biocyc.org Web site.
#  
# The pathways in this file are sorted by Pathway Score.


Pathway Name | Pathway Frame-id | Pathway Class Name | Pathway Class Frame-id | Pathway Score | Pathway Frequency Score | Pathway Abundance | Reason to Keep | Pathway URL

ammonia assimilation cycle III|AMMASSIM-PWY|Ammonia Assimilation|Ammonia-Assimilation|0.15874356|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=AMMASSIM-PWY
pentachlorophenol degradation|PCPDEG-PWY|||0.15888888|0.1|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PCPDEG-PWY
tRNA-uridine 2-thiolation and selenation (bacteria)|PWY-7892|||0.16000001|0.36363637|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7892
NAD salvage pathway I (PNC VI cycle)|PYRIDNUCSAL-PWY|NAD Biosynthesis|NAD-SYN|0.16089319|0.71428573|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PYRIDNUCSAL-PWY
adenosine deoxyribonucleotides de novo biosynthesis I|PWY-7227|Adenosine Deoxyribonucleotide De Novo Biosynthesis|Adenosine-Deoxy-Denovo-Bbiosynthesis|0.16098094|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7227
xanthine and xanthosine salvage|SALVPURINE2-PWY|||0.16098094|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=SALVPURINE2-PWY
glutathione biosynthesis|GLUTATHIONESYN-PWY|||0.16098094|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTATHIONESYN-PWY
guanosine deoxyribonucleotides de novo biosynthesis I|PWY-7226|Guanosine Deoxyribonucleotide De Novo Biosynthesis|Guanosine-Deoxy-Denovo-Biosynthesis|0.16098094|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7226
(2S)-ethylmalonyl-CoA biosynthesis|PWY-8425|||0.16171736|0.75|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8425
cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate|PWY-6690|||0.17600001|0.2|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6690
[2Fe-2S] iron-sulfur cluster biosynthesis|PWY-7250|||0.17600001|0.6|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7250
acrylate degradation I|PWY-6373|Acrylate Degradation|Acrylate-Degradation|0.17600001|0.2|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6373
L-threonine degradation I|PWY-5437|L-threonine Degradation|THREONINE-DEG|0.17641555|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5437
L-isoleucine degradation I|ILEUDEG-PWY|L-isoleucine Degradation|ISOLEUCINE-DEG|0.18033826|0.8333333|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=ILEUDEG-PWY
Escherichia coli serotype O:85/Salmonella enterica serotype O:17 O antigen biosynthesis|PWY-8207|||0.18352471|0.42857143|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8207
